codigo,nombre_cliente,pais,grupo,nombre_grupo,email
430284805,SAMY OPTICA**MULTIOPTICAS**,ES,018,MULTIOPTICAS,florencio.alvarezcolado@multiopticas.com
430500603,CENTRO OPTICO MARQUES,ES,999,INDEPENDIENTES,marquescentrooptico@gmail.com
430140502,SOYMO OPTICA**CL**,ES,999,INDEPENDIENTES,optica@soymo.es
430350336,OPTICA BOGUE (SERVIOPTICAS)**CIONE 0335502**,ES,120,CIONE ESPAÑA,fabiolabogue@yahoo.es
430284844,NEWCO TIENDA CENTRAL NATEA BUSINESS PARK,ES,149,MULTIOPTICAS PROPIAS,
430120049,MAESTRAT OPTICA (BENICARLO) **CL**,ES,400,INDEPENDIENTES PREMIUM,opticamaestrat@gmail.com
430030956,SAN MATEO IV (R CATOLICOS-ELDA),ES,043,OPTICA SAN MATEO,sanmateoelda@smopticas.com
430150835,CLINICA OFTALMOLOGICA DR PARAFITA,ES,999,INDEPENDIENTES,info@clinicaparafita.com
430461781,ANA HONRUBIA OPTICA**KIMERVISION**,ES,173,KIMERVISION,opticahonrubia@gmail.com
430070256,BALEAR OPTICA (INCA),ES,118,BALEAR OPTICA,balear.inca@opticabalear.com
430082492,AVECO OFTALMOLOGIA,ES,999,INDEPENDIENTES,avecotal@telefonica.es
430360294,APOSTOL OPTICA**CL**,ES,999,INDEPENDIENTES,opticaapostol@hotmail.es
430460978,ANTONIO ORTIZ (EL PUI) **VISTALIA**CL**,ES,166,VISTALIA,farmapuig@hotmail.com
430030209,CALDERON CENTRO OPTICO (ALICANTE) **UGO**,ES,026,NOG UGO,opticacalderon@gmail.com
430150405,DEUS CENTRO OPTICO**UGO**,ES,026,NOG UGO,centroopticodeus@gmail.com
430283731,PEREZ ULLOA OPTICA**CIONE 0008902**,ES,120,CIONE ESPAÑA,optica@opticaperezulloa.com
430082197,HOLOCROM INTEGRAL,ES,999,INDEPENDIENTES,HCholocrom@yahoo.es
430150604,CLIN DE OJOS PLAZA DEL LIBRO,ES,999,INDEPENDIENTES,optometria@josegutierrezamoros.es
430280931,VALENTIN OPTICOS (AV CARAB)**CECOP**,ES,004,CECOP,opticarabanchel2015@gmail.com
430282952,ROMA OPTICA (ALCALA 388),ES,078,OPTICA ROMA,ALCALA@OPTICAROMA.COM
430290122,MAR VISION (MARBELLA) OPTICA,ES,999,INDEPENDIENTES,opticamarvision@hotmail.com
430310221,NOAIN OPTICA**UGO**,ES,026,NOG UGO,opticanoain@hotmail.com
430450064,VISUAL OPTICOS (TOLEDO) **CECOP 556**CL**,ES,004,CECOP,visualnoblejas@gmail.com
430461280,2012 OPTICA II,ES,999,INDEPENDIENTES,opticapintorbenedito@gmail.com
430210061,LENTI WASH OPTICA,ES,110,LENTIWASH,huelva@uniopsa.es
430140154,MANCILLA OPTICA,ES,999,INDEPENDIENTES,carmen_7199@hotmail.com
430190077,CENTRAL OPTICA DE GUADALAJARA,ES,999,INDEPENDIENTES,ferial@coguada.com
430083857,INSTITUTO OFTALMO. QUIRON SALUD DEXEUS,ES,999,INDEPENDIENTES,ramon.sola@quironsalud.es
430083575,TERRASSA**OPTICALIA 10997**,ES,094,OPTICALIA,opticalia.terrassa@gmail.com
430070707,DECIBELIO EXPERT CENTER**CLARAVISION**,ES,081,CLARAVISION,ibiza@decibelioexpert.es
430480622,ARGIA OPTICA (AV MADARIAGA),ES,999,INDEPENDIENTES,masvisionilarte@gmail.com
430281985,PRIMERA OPTICOS,ES,999,INDEPENDIENTES,jcdiaz@eyd17.com
430031321,OPTICA OPTIMA (AV LIBERTAD),ES,117,OPTIMA GRUPO OPTICO,s.martinez@optica-optima.com
430120274,VISIONE CENTRO OPTICO**CIONE 0341300**,ES,120,CIONE ESPAÑA,povsvinaros@gmail.com
430081800,SANT JOAN DE DEU HOSPITAL,ES,199,HOSPITALES,
430082401,ÓPTICA VELASCO **CL**,ES,065,PEÑISCOLA,mireia.e.porcar@gmail.com
430110468,AUDITIVO DE LEON CENTRO OPT,ES,999,INDEPENDIENTES,info@deleonoptica.com
430300890,VIA OPTICOS **KIMERVISION**,ES,173,KIMERVISION,viaopticos@gmail.com
430410417,VALME OPTICA**FARMAOPTICS 318**,ES,010,FARMAOPTICS,pilaraznarferrero@gmail.com
430350386,JABLILLO OPTICA**CIONE 0152405**,ES,120,CIONE ESPAÑA,opticacentrolanzarote2010@gmail.com
430390282,PRISMA (TORRELAVEGA)**FEDEROPTICOS**CL**,ES,011,FEDEROPTICOS,prisma@federopticos.com
430020249,GARVI OPTICA (C/PADRE ROMANO-ALBACET**CL,ES,999,INDEPENDIENTES,opticagarvi91@gmail.com
430031299,VISION CENTER**CIONE**CL**,ES,120,CIONE ESPAÑA,facturasvcenter@gmail.com
430350356,TRIANA DEL ATLANTICO**MULTIOPTICAS**,ES,018,MULTIOPTICAS,triana@multiopticaslp.com
430120125,OROPESA,ES,999,INDEPENDIENTES,opticaliaoropesa@yahoo.es
430200002,BARANDIARAN CENTRO OPT**CIONE 36000**,ES,120,CIONE ESPAÑA,opticabarandiaran@gmail.com
430082084,GAVAOPTIC**CIONE 122900**,ES,120,CIONE ESPAÑA,montse@gavaoptic.com
430500599,ZARAGOZA**ALAIN AFFLELOU*,ES,049,AA FRANQUICIA ESPAÑA,grima.raul@afflelou.es
430070272,LLUC OPTICA**KIMERVISION**CL**,ES,173,KIMERVISION,opticalluc@hotmail.com
430082518,VIC**ALAIN AFFLELOU FRANQ**,ES,049,AA FRANQUICIA ESPAÑA,beremavisio@gmail.com
430360321,CARREFOUR (OPTICA STUDIO),ES,134,STUDIO OPTICAS-PONTE,travesia@opticastudio.com
430460982,ANTOLINO RUIZ OPTICA**CL**,ES,999,INDEPENDIENTES,a.ruiz@antolinoruizopticos.com
430150431,LAS LAGOAS OPTICA,ES,999,INDEPENDIENTES,opticalaslagoas@gmail.com
430082213,TOT OPTOMETRIA**CL**,ES,999,INDEPENDIENTES,totoptometria@gmail.com
430150611,ARTEIXO **MULTIOPTICAS**,ES,018,MULTIOPTICAS,irene.verde@multiopticas.com
430282955,FERNANDEZ VEGA DRES,ES,999,INDEPENDIENTES,clinica.madrid@fernandez-vega.com
430290204,ORDONEZ OPTICA**INNOVAVISION**CL**,ES,163,FEDEROP INNOVAVISION,opticaordonezz@gmail.com
430310230,NAVARRA OP (C/ AV PAMPLONA)**NATURAL OPTICS**,ES,019,NOG,baranain@opticanavarra.com
430450066,HERMINIO RUBIO,ES,104,OPTICAS ASOCIADAS 10,herminiorubiooptico@hotmail.com
430461287,ASUNCION OLIVER (CONDE ALTEA),ES,999,INDEPENDIENTES,CONDEALTEaasunoliver@gmail.com
430210083,AVENIDA OPTICA (MOGUER),ES,999,INDEPENDIENTES,opticaavenidamoguer@gmail.com
430461829,ORRIOLS OPTICA**CECOP**,ES,004,CECOP,opticaorriols@gmail.com
430480586,MONCADA**ALAIN AFFLELOU FRANQ**,ES,049,AA FRANQUICIA ESPAÑA,bilbao.rekalde.salou@afflelou.es
430310290,ITURRAMA-OPTICA**UGO**,ES,026,NOG UGO,info@opticaiturrama.com
430060343,HEMERA OPTICA**INNOVA**,ES,163,FEDEROP INNOVAVISION,hemera@gmail.com
430040074,MAYOL OPTICA,ES,999,INDEPENDIENTES,marisolmayol@telefonica.net
430250099,MARC OPTICA,ES,999,INDEPENDIENTES,
430020208,ALMENAS,ES,999,INDEPENDIENTES,
430110634,CENTRO AUDIOPTICO SENSOMED,ES,999,INDEPENDIENTES,sensomedbenalup@gmail.com
430300545,REZKALLA DAGHOUM UBEIDE DR,ES,999,INDEPENDIENTES,razuc@hotmail.com
430284753,MERINO OPTICO**CL**,ES,999,INDEPENDIENTES,merinooptico@hotmail.com
430411223,VAZQUEZ OP (LORA)**MULTIOPTICAS**,ES,018,MULTIOPTICAS,multilora@telefonica.net
430100015,BARBADO OP (TRUJILLO) **OPTIMIL**,ES,184,OPTIMIL,singular2000@hotmail.com
430330071,VILLALEGRE CENTRO OPTICO  **KIMERVISION**,ES,173,KIMERVISION,principotica@gmail.com
430130302,CIUDAD REAL**ALAIN AFFLELOU FRANQ**,ES,049,AA FRANQUICIA ESPAÑA,redondo.raquel@afflelou.es
430480624,PRESA OPTICA,ES,999,INDEPENDIENTES,mariabarredapresa@gmail.com
430460244,JUAN RAMON OPTICA**UGO**,ES,026,NOG UGO,juanr.silla@hotmail.com
430140267,ARCANGEL**SOLOPTICAL**,ES,052,SOLOPTICAL,e.arcangel@soloptical.com
430480585,SANDRA DE FERNANDO AISA,ES,999,INDEPENDIENTES,sandradefer@gmail.com
430400085,LA OPTICA DE SEGOVIA,ES,999,INDEPENDIENTES,laopticadesegovia@gmail.com
430284845,OPTICARE EL BERCIAL**KIMERVISION**,ES,173,KIMERVISION,lara11.torres@gmail.com
430120143,ELENA SANTOLARIA OPTICA**CECOP**CL**,ES,004,CECOP,admin@santolariavisual.com
